[INFO] START: 03/05/2024 12:08:25
TARGET: facebook.com

 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-10-06
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-03
 | 157.240.236.35  | Cyberjaya - Malaysia          | FACEBOOK                                 | 2022-10-02
 | 185.60.216.35   | Ireland                       | FACEBOOK                                 | 2022-09-29
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-09-29
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-09-27
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-09-27
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-09-26
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-09-24
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-09-24
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-09-21
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-09-21
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-09-20
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-09-09
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-09-08
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-09-07
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-09-05
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-09-04
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-09-03
 | 157.240.236.35  | Cyberjaya - Malaysia          | FACEBOOK                                 | 2022-09-03
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-08-30
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-08-25
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-08-25
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-08-19
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-08-17
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-08-16
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-08-14
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-08-14
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-08-13
 | 157.240.236.35  | Cyberjaya - Malaysia          | FACEBOOK                                 | 2022-08-11
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-08-11
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-08-09
 | 31.13.70.36     | Los Angeles - United States   | FACEBOOK                                 | 2022-08-06
 | 157.240.236.35  | Cyberjaya - Malaysia          | FACEBOOK                                 | 2022-08-05
 | 31.13.67.35     | Boca Raton - United States    | FACEBOOK                                 | 2022-08-04
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-08-04
 | 31.13.93.35     | Dallas - United States        | FACEBOOK                                 | 2022-08-03
 | 185.60.216.35   | Ireland                       | FACEBOOK                                 | 2022-08-03
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-07-31
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-07-30
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-07-29
